GruppoDettaglio,OreSettimanali
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,6.0
studenti - secondaria,7.0
studenti - secondaria,40.0
studenti - secondaria,13.0
studenti - secondaria,1.0
studenti - secondaria,7.0
studenti - secondaria,1.0
studenti - secondaria,8.0
studenti - secondaria,1.0
studenti - secondaria,12.0
studenti - secondaria,10.0
studenti - secondaria,8.0
studenti - secondaria,1.0
studenti - secondaria,6.0
studenti - secondaria,20.0
studenti - secondaria,20.0
studenti - secondaria,3.0
studenti - secondaria,21.0
studenti - secondaria,5.0
studenti - secondaria,5.0
studenti - secondaria,1.0
studenti - secondaria,0.0
studenti - secondaria,0.0
studenti - secondaria,2.0
studenti - secondaria,4.0
studenti - universitari,15.0
